X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,speed,course,hAcc,vAcc
-76.438403,36.794967,0,0,78,7.113093,2021/05/19 18:24:06+00,,,,,,,,,,,,,,,,,,,,,,2.60342,58.062973,1.142076,0.795823
-76.438378,36.794955,0,0,79,7.106523,2021/05/19 18:24:07+00,,,,,,,,,,,,,,,,,,,,,,2.62391,33.1394,1.140111,0.794593
-76.438352,36.794942,0,0,80,7.100918,2021/05/19 18:24:08+00,,,,,,,,,,,,,,,,,,,,,,2.642409,70.788124,1.138492,0.793643
-76.438327,36.79493,0,0,81,7.096256,2021/05/19 18:24:09+00,,,,,,,,,,,,,,,,,,,,,,2.658837,96.43721,1.13722,0.792961
-76.438301,36.794918,0,0,82,7.092506,2021/05/19 18:24:10+00,,,,,,,,,,,,,,,,,,,,,,2.673153,92.435837,1.136264,0.792512
-76.438276,36.794905,0,0,83,7.089646,2021/05/19 18:24:11+00,,,,,,,,,,,,,,,,,,,,,,2.68535,94.78569,1.135573,0.792239
-76.43825,36.794893,0,0,84,7.087667,2021/05/19 18:24:12+00,,,,,,,,,,,,,,,,,,,,,,2.695252,103.566833,1.135084,0.792081
-76.438224,36.794881,0,0,85,7.086581,2021/05/19 18:24:13+00,,,,,,,,,,,,,,,,,,,,,,2.702348,103.063087,1.13474,0.791986
-76.438197,36.794868,0,0,86,7.086429,2021/05/19 18:24:14+00,,,,,,,,,,,,,,,,,,,,,,2.706108,111.414055,1.134493,0.791912
-76.438171,36.794856,0,0,87,7.087284,2021/05/19 18:24:15+00,,,,,,,,,,,,,,,,,,,,,,2.706216,138.470322,1.134302,0.791828
-76.438145,36.794844,0,0,88,7.089265,2021/05/19 18:24:16+00,,,,,,,,,,,,,,,,,,,,,,2.702451,166.670288,1.134135,0.791712
-76.438119,36.794831,0,0,89,7.092529,2021/05/19 18:24:17+00,,,,,,,,,,,,,,,,,,,,,,2.69476,162.800461,1.133969,0.79155
-76.438093,36.794819,0,0,90,7.09726,2021/05/19 18:24:18+00,,,,,,,,,,,,,,,,,,,,,,2.683252,170.982452,1.133793,0.791341
-76.438068,36.794806,0,0,91,7.103652,2021/05/19 18:24:19+00,,,,,,,,,,,,,,,,,,,,,,2.668336,184.392136,1.133607,0.791098
-76.438042,36.794793,0,0,92,7.111899,2021/05/19 18:24:20+00,,,,,,,,,,,,,,,,,,,,,,2.650855,199.083328,1.13342,0.790839
-76.438018,36.794781,0,0,93,7.12218,2021/05/19 18:24:21+00,,,,,,,,,,,,,,,,,,,,,,2.631913,210.542114,1.133244,0.790589
-76.437993,36.794767,0,0,94,7.134655,2021/05/19 18:24:22+00,,,,,,,,,,,,,,,,,,,,,,2.612409,214.330338,1.133091,0.79037
-76.437969,36.794754,0,0,95,7.149446,2021/05/19 18:24:23+00,,,,,,,,,,,,,,,,,,,,,,2.592957,221.455612,1.132974,0.790202
-76.437946,36.79474,0,0,96,7.166615,2021/05/19 18:24:24+00,,,,,,,,,,,,,,,,,,,,,,2.573895,247.977615,1.132902,0.790098
-76.437923,36.794726,0,0,97,7.186146,2021/05/19 18:24:25+00,,,,,,,,,,,,,,,,,,,,,,2.555129,239.404251,1.132879,0.790066
-76.4379,36.794712,0,0,98,7.207932,2021/05/19 18:24:26+00,,,,,,,,,,,,,,,,,,,,,,2.536285,223.904633,1.132908,0.790108
-76.437879,36.794698,0,0,99,7.231753,2021/05/19 18:24:27+00,,,,,,,,,,,,,,,,,,,,,,2.516681,222.816147,1.132985,0.790221
-76.437858,36.794683,0,0,100,7.257255,2021/05/19 18:24:28+00,,,,,,,,,,,,,,,,,,,,,,2.495828,224.611542,1.133106,0.790396
-76.437837,36.794667,0,0,101,7.283953,2021/05/19 18:24:29+00,,,,,,,,,,,,,,,,,,,,,,2.473933,225.868668,1.133264,0.790625
-76.437818,36.794652,0,0,102,7.311255,2021/05/19 18:24:30+00,,,,,,,,,,,,,,,,,,,,,,2.451762,223.69162,1.133451,0.790896
-76.437798,36.794636,0,0,103,7.33851,2021/05/19 18:24:31+00,,,,,,,,,,,,,,,,,,,,,,2.430471,220.359482,1.133656,0.791193
-76.43778,36.79462,0,0,104,7.365048,2021/05/19 18:24:32+00,,,,,,,,,,,,,,,,,,,,,,2.411414,211.385574,1.133863,0.791491
-76.437762,36.794604,0,0,105,7.390237,2021/05/19 18:24:33+00,,,,,,,,,,,,,,,,,,,,,,2.395858,210.279343,1.134051,0.791763
-76.437745,36.794587,0,0,106,7.41351,2021/05/19 18:24:34+00,,,,,,,,,,,,,,,,,,,,,,2.384624,209.18544,1.1342,0.791978
-76.437728,36.794571,0,0,107,7.434375,2021/05/19 18:24:35+00,,,,,,,,,,,,,,,,,,,,,,2.378027,206.015778,1.134292,0.792111
-76.437712,36.794553,0,0,108,7.452411,2021/05/19 18:24:36+00,,,,,,,,,,,,,,,,,,,,,,2.37633,203.551468,1.134314,0.792143
-76.437697,36.794536,0,0,109,7.46726,2021/05/19 18:24:37+00,,,,,,,,,,,,,,,,,,,,,,2.379724,199.377136,1.134265,0.792074
-76.437682,36.794518,0,0,110,7.478621,2021/05/19 18:24:38+00,,,,,,,,,,,,,,,,,,,,,,2.387994,201.331894,1.134156,0.79192
-76.437667,36.7945,0,0,111,7.486252,2021/05/19 18:24:39+00,,,,,,,,,,,,,,,,,,,,,,2.40061,206.393036,1.134008,0.791708
-76.437652,36.794482,0,0,112,7.489956,2021/05/19 18:24:40+00,,,,,,,,,,,,,,,,,,,,,,2.416846,208.802063,1.133843,0.791473
-76.437638,36.794464,0,0,113,7.489589,2021/05/19 18:24:41+00,,,,,,,,,,,,,,,,,,,,,,2.435985,208.760651,1.133683,0.791244
-76.437623,36.794445,0,0,114,7.485059,2021/05/19 18:24:42+00,,,,,,,,,,,,,,,,,,,,,,2.457318,205.714355,1.133548,0.79105
-76.437609,36.794426,0,0,115,7.476351,2021/05/19 18:24:43+00,,,,,,,,,,,,,,,,,,,,,,2.480141,198.390289,1.133451,0.790911
-76.437595,36.794407,0,0,116,7.46354,2021/05/19 18:24:44+00,,,,,,,,,,,,,,,,,,,,,,2.503875,196.690994,1.133401,0.790841
-76.43758,36.794387,0,0,117,7.446796,2021/05/19 18:24:45+00,,,,,,,,,,,,,,,,,,,,,,2.528143,194.086853,1.133403,0.790844
-76.437566,36.794367,0,0,118,7.426368,2021/05/19 18:24:46+00,,,,,,,,,,,,,,,,,,,,,,2.552598,190.014832,1.133454,0.790917
-76.437551,36.794348,0,0,119,7.402557,2021/05/19 18:24:47+00,,,,,,,,,,,,,,,,,,,,,,2.576407,168.421387,1.133545,0.791048
-76.437536,36.794328,0,0,120,7.375685,2021/05/19 18:24:48+00,,,,,,,,,,,,,,,,,,,,,,2.598251,159.659286,1.133662,0.791216
-76.437521,36.794308,0,0,121,7.346075,2021/05/19 18:24:49+00,,,,,,,,,,,,,,,,,,,,,,2.616876,145.224075,1.133788,0.791396
-76.437505,36.794288,0,0,122,7.314044,2021/05/19 18:24:50+00,,,,,,,,,,,,,,,,,,,,,,2.631141,144.482132,1.133904,0.791563
-76.43749,36.794267,0,0,123,7.27989,2021/05/19 18:24:51+00,,,,,,,,,,,,,,,,,,,,,,2.640159,134.714218,1.134,0.7917
-76.437474,36.794247,0,0,124,7.243866,2021/05/19 18:24:52+00,,,,,,,,,,,,,,,,,,,,,,2.643742,116.941803,1.13407,0.791799
-76.437458,36.794227,0,0,125,7.206147,2021/05/19 18:24:53+00,,,,,,,,,,,,,,,,,,,,,,2.642403,118.191383,1.134115,0.791862
-76.437442,36.794207,0,0,126,7.166811,2021/05/19 18:24:54+00,,,,,,,,,,,,,,,,,,,,,,2.636796,112.987663,1.134143,0.7919
-76.437426,36.794187,0,0,127,7.125846,2021/05/19 18:24:55+00,,,,,,,,,,,,,,,,,,,,,,2.627061,113.532677,1.134163,0.791927
-76.43741,36.794168,0,0,128,7.083188,2021/05/19 18:24:56+00,,,,,,,,,,,,,,,,,,,,,,2.612871,115.384842,1.134185,0.791957
-76.437394,36.794148,0,0,129,7.038739,2021/05/19 18:24:57+00,,,,,,,,,,,,,,,,,,,,,,2.593789,107.612694,1.13422,0.792004
-76.437378,36.794128,0,0,130,6.992404,2021/05/19 18:24:58+00,,,,,,,,,,,,,,,,,,,,,,2.569295,114.337715,1.134275,0.79208
-76.437363,36.794109,0,0,131,6.944131,2021/05/19 18:24:59+00,,,,,,,,,,,,,,,,,,,,,,2.538866,114.549339,1.134359,0.792197
-76.437348,36.79409,0,0,132,6.89394,2021/05/19 18:25:00+00,,,,,,,,,,,,,,,,,,,,,,2.502002,115.62394,1.134473,0.792355
-76.437333,36.794071,0,0,133,6.841949,2021/05/19 18:25:01+00,,,,,,,,,,,,,,,,,,,,,,2.458418,122.842155,1.13461,0.792547
-76.437319,36.794052,0,0,134,6.788384,2021/05/19 18:25:02+00,,,,,,,,,,,,,,,,,,,,,,2.407822,126.826065,1.134756,0.79275
-76.437305,36.794034,0,0,135,6.733593,2021/05/19 18:25:03+00,,,,,,,,,,,,,,,,,,,,,,2.349695,129.275269,1.134883,0.792924
-76.437292,36.794016,0,0,136,6.678048,2021/05/19 18:25:04+00,,,,,,,,,,,,,,,,,,,,,,2.283942,128.506836,1.134957,0.793022
-76.437279,36.793998,0,0,137,6.622347,2021/05/19 18:25:05+00,,,,,,,,,,,,,,,,,,,,,,2.211273,125.250931,1.13495,0.793003
-76.437267,36.793981,0,0,138,6.567177,2021/05/19 18:25:06+00,,,,,,,,,,,,,,,,,,,,,,2.132887,123.232201,1.134848,0.792847
-76.437256,36.793965,0,0,139,6.513281,2021/05/19 18:25:07+00,,,,,,,,,,,,,,,,,,,,,,2.05015,126.197113,1.134658,0.792564
-76.437245,36.793949,0,0,140,6.461415,2021/05/19 18:25:08+00,,,,,,,,,,,,,,,,,,,,,,1.964518,125.143753,1.134398,0.792179
-76.437236,36.793933,0,0,141,6.412312,2021/05/19 18:25:09+00,,,,,,,,,,,,,,,,,,,,,,1.877362,124.488487,1.13409,0.791727
-76.437227,36.793918,0,0,142,6.366629,2021/05/19 18:25:10+00,,,,,,,,,,,,,,,,,,,,,,1.789995,123.577148,1.133758,0.791242
-76.437219,36.793904,0,0,143,6.324911,2021/05/19 18:25:11+00,,,,,,,,,,,,,,,,,,,,,,1.703859,127.153435,1.133421,0.790754
-76.437211,36.79389,0,0,144,6.287565,2021/05/19 18:25:12+00,,,,,,,,,,,,,,,,,,,,,,1.620228,128.616989,1.133098,0.79029
-76.437205,36.793877,0,0,145,6.25485,2021/05/19 18:25:13+00,,,,,,,,,,,,,,,,,,,,,,1.539812,128.120163,1.132802,0.789872
-76.437199,36.793864,0,0,146,6.226871,2021/05/19 18:25:14+00,,,,,,,,,,,,,,,,,,,,,,1.462771,126.41993,1.132545,0.789518
-76.437194,36.793852,0,0,147,6.203578,2021/05/19 18:25:15+00,,,,,,,,,,,,,,,,,,,,,,1.388672,125.228592,1.13234,0.789244
-76.437189,36.793841,0,0,148,6.184797,2021/05/19 18:25:16+00,,,,,,,,,,,,,,,,,,,,,,1.31669,124.767036,1.132198,0.789067
-76.437185,36.79383,0,0,149,6.170246,2021/05/19 18:25:17+00,,,,,,,,,,,,,,,,,,,,,,1.245915,122.960632,1.13214,0.789007
-76.437181,36.793819,0,0,150,6.159558,2021/05/19 18:25:18+00,,,,,,,,,,,,,,,,,,,,,,1.175404,123.398788,1.132189,0.789088
-76.437178,36.793809,0,0,151,6.152307,2021/05/19 18:25:19+00,,,,,,,,,,,,,,,,,,,,,,1.103826,122.919243,1.132377,0.789334
-76.437175,36.7938,0,0,152,6.148014,2021/05/19 18:25:20+00,,,,,,,,,,,,,,,,,,,,,,1.029741,123.478058,1.132748,0.789779
-76.437172,36.793791,0,0,153,6.146166,2021/05/19 18:25:21+00,,,,,,,,,,,,,,,,,,,,,,0.952236,122.395477,1.133356,0.790459
-76.43717,36.793783,0,0,154,6.146231,2021/05/19 18:25:22+00,,,,,,,,,,,,,,,,,,,,,,0.871232,122.278992,1.134269,0.791412
-76.437168,36.793776,0,0,155,6.147687,2021/05/19 18:25:23+00,,,,,,,,,,,,,,,,,,,,,,0.787477,124.623291,1.135567,0.792679
-76.437166,36.793769,0,0,156,6.150053,2021/05/19 18:25:24+00,,,,,,,,,,,,,,,,,,,,,,0.702626,128.871109,1.137341,0.794298
-76.437165,36.793763,0,0,157,6.152923,2021/05/19 18:25:25+00,,,,,,,,,,,,,,,,,,,,,,0.619263,128.505173,1.139688,0.796299
-76.437164,36.793758,0,0,158,6.155987,2021/05/19 18:25:26+00,,,,,,,,,,,,,,,,,,,,,,0.540155,128.746368,1.142703,0.798701
-76.437163,36.793754,0,0,159,6.159028,2021/05/19 18:25:27+00,,,,,,,,,,,,,,,,,,,,,,0.467496,129.148041,1.146479,0.801512
-76.437162,36.79375,0,0,160,6.161899,2021/05/19 18:25:28+00,,,,,,,,,,,,,,,,,,,,,,0.402803,129.414383,1.151102,0.804744
-76.437161,36.793747,0,0,161,6.164505,2021/05/19 18:25:29+00,,,,,,,,,,,,,,,,,,,,,,0.347141,129.352936,1.156642,0.808413
-76.437161,36.793744,0,0,162,6.166805,2021/05/19 18:25:30+00,,,,,,,,,,,,,,,,,,,,,,0.301051,129.331619,1.163122,0.812519
-76.43716,36.793741,0,0,163,6.168808,2021/05/19 18:25:31+00,,,,,,,,,,,,,,,,,,,,,,0.264566,131.82869,1.170483,0.817027
-76.43716,36.793739,0,0,164,6.170565,2021/05/19 18:25:32+00,,,,,,,,,,,,,,,,,,,,,,0.237343,141.936722,1.178546,0.821837
-76.43716,36.793737,0,0,165,6.17216,2021/05/19 18:25:33+00,,,,,,,,,,,,,,,,,,,,,,0.218898,141.44519,1.186976,0.826767
-76.43716,36.793735,0,0,166,6.173707,2021/05/19 18:25:34+00,,,,,,,,,,,,,,,,,,,,,,0.20865,141.41626,1.195251,0.831529
-76.43716,36.793733,0,0,167,6.17535,2021/05/19 18:25:35+00,,,,,,,,,,,,,,,,,,,,,,0.205869,138.855927,1.202652,0.835721
-76.43716,36.793731,0,0,168,6.177278,2021/05/19 18:25:36+00,,,,,,,,,,,,,,,,,,,,,,0.209613,139.150253,1.208279,0.838834
-76.437161,36.793729,0,0,169,6.179692,2021/05/19 18:25:37+00,,,,,,,,,,,,,,,,,,,,,,0.21877,143.901642,1.211235,0.840364
-76.437161,36.793727,0,0,170,6.18275,2021/05/19 18:25:38+00,,,,,,,,,,,,,,,,,,,,,,0.232295,144.924545,1.210987,0.840011
-76.437162,36.793725,0,0,171,6.186529,2021/05/19 18:25:39+00,,,,,,,,,,,,,,,,,,,,,,0.249379,144.586288,1.207546,0.837794
-76.437162,36.793723,0,0,172,6.191045,2021/05/19 18:25:40+00,,,,,,,,,,,,,,,,,,,,,,0.269655,147.222672,1.201471,0.834046
-76.437163,36.79372,0,0,173,6.19629,2021/05/19 18:25:41+00,,,,,,,,,,,,,,,,,,,,,,0.292941,147.870728,1.193686,0.829311
